"my_id","follower_id","status"
"956","673","1"
"601","439","1"
"956","890","1"
"956","847","1"
"601","753","1"
"439","196","1"
"673","933","1"
"962","620","1"
"410","439","1"
"894","713","1"
"894","701","1"
"615","139","1"
"673","285","1"
"894","681","1"
"439","601","1"
"922","528","1"
"673","106","1"
"753","514","1"
"783","856","1"
"753","601","1"
"933","673","1"
"753","764","1"
"922","103","1"
"933","139","1"
"620","165","1"
"922","764","1"
"933","815","1"
"894","530","1"
"620","962","1"
"783","344","1"
"453","901","1"
"894","439","1"
"347","651","1"
"344","822","1"
"344","821","1"
"344","818","1"
"818","651","1"
"344","856","1"
"439","165","1"
"970","856","1"
"439","847","1"
"439","320","1"
"942","620","1"
"344","834","1"
"439","514","1"
"62","439","1"
"439","410","1"
"344","658","1"
"856","370","1"
"922","587","1"
"439","894","1"
"439","62","1"
"942","839","1"
"108","867","1"
"943","886","1"
"856","970","1"
"940","657","1"
"115","867","1"
"942","601","1"
"344","970","1"
"753","615","1"
"439","615","1"
"922","867","1"
"970","344","1"
"909","382","1"
"909","926","1"
"964","587","1"
"909","589","1"
"922","453","1"
"909","165","1"
"909","377","1"
"305","481","1"
"248","481","1"
"942","481","1"
"964","867","1"
"967","175","1"
"354","175","1"
"821","970","1"
"964","481","1"
"794","481","1"
"288","192","1"
"964","887","1"
"657","783","1"
"568","439","1"
"62","481","1"
"657","940","1"
"936","481","1"
"964","909","1"
"171","439","1"
"946","942","1"
"602","62","1"
"165","62","1"
"978","3","1"
"62","165","1"
"970","821","1"
"964","753","1"
"568","952","1"
"439","568","1"
"62","602","1"
"439","171","1"
"964","439","1"
"165","783","1"
"964","52","1"
"514","814","1"
"946","439","1"
"867","108","1"
"922","976","1"
"867","115","1"
"165","528","1"
"982","3","1"
"802","946","1"
"481","270","1"
"165","651","1"
"165","900","1"
"216","481","1"
"964","554","1"
"165","908","1"
"946","481","1"
"481","942","1"
"977","959","1"
"964","946","1"
"481","794","1"
"481","62","1"
"989","839","1"
"481","936","1"
"867","717","1"
"946","802","1"
"481","216","1"
"288","103","1"
"481","946","1"
"867","939","1"
"717","334","1"
"867","820","1"
"964","528","1"
"989","344","1"
"234","681","1"
"423","936","1"
"970","989","1"
"717","462","1"
"964","62","1"
"726","192","1"
"964","794","1"
"462","717","1"
"964","103","1"
"886","587","1"
"964","941","1"
"989","783","1"
"964","344","1"
"989","568","1"
"898","344","1"
"717","110","1"
"717","3","1"
"964","530","1"
"898","886","1"
"439","946","1"
"964","71","1"
"867","898","1"
"936","423","1"
"717","867","1"
"936","475","1"
"822","821","1"
"822","834","1"
"822","783","1"
"822","818","1"
"822","856","1"
"822","344","1"
"165","978","1"
"995","3","1"
"956","978","1"
"995","7","1"
"995","6","1"
"972","978","1"
"995","330","1"
"972","288","1"
"972","898","1"
"972","344","1"
"972","886","1"
"947","822","1"
"972","923","1"
"989","970","1"
"972","936","1"
"1007","733","1"
"514","867","1"
"972","941","1"
"972","103","1"
"972","794","1"
"514","820","1"
"972","62","1"
"989","822","1"
"972","946","1"
"1007","820","1"
"352","3","1"
"259","822","1"
"344","933","1"
"1007","833","1"
"779","978","1"
"1007","806","1"
"439","933","1"
"1007","821","1"
"995","334","1"
"439","991","1"
"1007","764","1"
"834","818","1"
"834","344","1"
"291","978","1"
"312","481","1"
"748","439","1"
"834","822","1"
"834","568","1"
"1007","192","1"
"291","794","1"
"568","822","1"
"351","658","1"
"568","173","1"
"659","344","1"
"568","139","1"
"1008","3","1"
"568","821","1"
"822","947","1"
"568","344","1"
"822","259","1"
"351","568","1"
"822","568","1"
"291","933","1"
"568","351","1"
"568","834","1"
"1035","933","1"
"970","904","1"
"815","890","1"
"815","956","1"
"368","1036","1"
"587","886","1"
"1036","368","1"
"783","165","1"
"554","764","1"
"305","981","1"
"291","423","1"
"1039","601","1"
"1039","942","1"
"976","102","1"
"386","1039","1"
"370","856","1"
"370","219","1"
"139","439","1"
"386","549","1"
"344","423","1"
"1002","3","1"
"386","192","1"
"568","554","1"
"139","959","1"
"1036","1039","1"
"568","52","1"
"344","151","1"
"1036","991","1"
"92","1047","1"
"86","189","1"
"1045","964","1"
"559","489","1"
"559","904","1"
"867","3","1"
"976","904","1"
"991","904","1"
"1053","1045","1"
"1043","3","1"
"151","344","1"
"238","1045","1"
"1043","6","1"
"1033","1045","1"
"1053","904","1"
"1043","2","1"
"1043","7","1"
"382","717","1"
"643","1045","1"
"312","964","1"
"1043","121","1"
"1043","316","1"
"280","139","1"
"1045","1033","1"
"280","481","1"
"952","568","1"
"1045","643","1"
"1047","92","1"
"1045","238","1"
"229","662","1"
"1033","991","1"
"1033","238","1"
"1033","223","1"
"1033","898","1"
"933","344","1"
"933","291","1"
"933","439","1"
"933","1035","1"
"1060","964","1"
"1060","423","1"
"711","102","1"
"93","238","1"
"1033","858","1"
"974","881","1"
"711","822","1"
"1027","964","1"
"711","196","1"
"550","898","1"
"711","897","1"
"711","316","1"
"514","964","1"
"898","550","1"
"550","543","1"
"139","151","1"
"514","978","1"
"904","970","1"
"46","439","1"
